ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG,CODIGO,NOMBRE,EMBALSE,X,Y,DEMARC,PROVINCIA,CCAA,TIPO,INFORME
145.0,ebro,sallente,6.0,1.0,9250031,sallente,sallente,42.5003709690001,0.991459934000034,ebro,lleida,cataluña,presa de materiales sueltos de pantalla asfáltica,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2580
,,,,,3450047,cazalegas,cazalegas dam,40.01298709,-4.70624804799996,tajo,toledo,castilla - la mancha,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=902
,,,,,9250014,lago negro,lago negro,42.5422861970001,1.04058219400002,ebro,lleida,cataluña,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2564
,,,,,9500034,"torcas, las",las trocas reservoir,41.294686266,-1.08744698599997,ebro,zaragoza,aragón,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2845
,,,,,3190006,"bujeda, la","bujeda, la",40.244500658,-2.83518801499997,tajo,guadalajara,castilla - la mancha,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=742
,,,,,3450026,"torcon, el","torcon, el",39.6252768730001,-4.38550029999993,tajo,toledo,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=882
,,,,,4130055,puerto de vallehermoso,puerto de vallehermoso,38.8679274180001,-3.16849076499994,guadiana,ciudad real,castilla - la mancha,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1143
418.0,guadiana,brovales,7.0,0.0,4060047,brovales,brovales,38.345277652,-6.69588046499996,guadiana,badajoz,extremadura,presa de fábrica de contrafuertes,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=974
,,,,,3190001,almoguera,faltos,40.2743056580001,-2.95882007899996,tajo,guadalajara,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=737
,,,,,9220010,bachimaña alto,bachimaña alto reservoir,42.782028102,-0.223491101999969,ebro,huesca,aragón,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2427
