ID,CAUCE,GOOGLE,OPENSTREETMAP,WIKIDATA,COTA_CORON,ALT_CIMIEN
145.0,barranc de la lora,,,,1770.0,89.0
,río alberche,https://www.google.com/search?kgmid=/g/11dfr4j268,,https://www.wikidata.org/wiki/q30278314,,
,,,,,2340.0,11.0
,río huerva,,,https://www.wikidata.org/wiki/q23991169,624.799999999999,39.45
,sin nombre,,,,905.5,39.5
,arroyo del torcón,,,,,
,rio azuer,,,,,
418.0,arroyo de brovales,,,,,
,río tajo,https://www.google.com/search?kgmid=/g/12283wdk,,https://www.wikidata.org/wiki/q5672943,,
,río caldarés,,,https://www.wikidata.org/wiki/q95674644,2207.09999999999,38.1
,arroyo de la jarosa,,,https://www.wikidata.org/wiki/q1329216,1088.0,54.0
,arroyo de fuente corneja,,,https://www.wikidata.org/wiki/q1329216,1088.09999999999,14.1
,barranco de onzanova,,,,404.0,26.0
,río eresma,https://www.google.com/search?kgmid=/g/120wrl3k,,https://www.wikidata.org/wiki/q5830615,1104.5,48.0
533.0,río algodor,,,,,
,río almodóvar,,,https://www.wikidata.org/wiki/q5369429,107.2,40.0
,barranco de ip,,,https://www.wikidata.org/wiki/q23999337,2119.0,31.0
621.0,río  rumblar,,,,,
,rio endara,,,,247.0,56.7999999999999
,rio mula,,,https://www.wikidata.org/wiki/q107738426,,
,río escarra,,,https://www.wikidata.org/wiki/q95675526,1636.0,43.0
330.0,rio valdeazogues,,,,,
95.0,riera de riudecanyes,,,,220.5,51.0
52.0,río altzania,,,,652.0,55.0
,río duero,,,,,
,regato del rosal,,,,,
,rio guadalentin o sangonera,,,,137.0,33.5
,rio guadalentin o sangonera,,,,138.0,9.0
,río sil,https://www.google.com/search?kgmid=/g/11p4cqtf9c,,https://www.wikidata.org/wiki/q105729417,,
,rio de valdejudios,,,,,
,río tormes,https://www.google.com/search?kgmid=/g/122wtfys,,https://www.wikidata.org/wiki/q5678462,805.799999999999,14.5
,riu palancia,,,,406.529999999999,27.53
216.0,rio cubilar,,,,,
,río  genil,,,,250.0,36.0
,arroyo de la portiña,,,https://www.wikidata.org/wiki/q52673428,412.5,23.3
,río umia,,,,126.5,34.0
733.0,riu palancia,,,,217.0,49.0
529.0,río voltoya,,,,,
562.0,arroyo de las aguascebas chico,,,,,
,riu de la sénia,,,https://www.wikidata.org/wiki/q202052,479.029999999999,58.6599999999999
133.0,río navacerrada,,,,,
,rio luchena,https://www.google.com/search?kgmid=/g/1228rq7r,https://www.openstreetmap.org/relation/1450307,https://www.wikidata.org/wiki/q5490023,,
392.0,riera de les olles,,,,178.0,50.0
319.0,urrestilla ibaia,,,,226.75,66.0
,río júcar,,,https://www.wikidata.org/wiki/q23995855,1156.34999999999,40.0
,río piedras,,,,,
,río de aguas blancas,,,https://www.wikidata.org/wiki/q5369453,,
306.0,río quipar o rambla mullidar,,,,,
,río duratón,https://www.google.com/search?kgmid=/g/121_4pt5,https://www.openstreetmap.org/relation/4116775,https://www.wikidata.org/wiki/q5830416,,
,río salor,https://www.google.com/search?kgmid=/g/11h70_p1q2,,https://www.wikidata.org/wiki/q63384116,,
,sin nombre,https://www.google.com/search?kgmid=/g/122gflb1,,https://www.wikidata.org/wiki/q5830534,,
,arroyo de riolobos o arroyo de la dehesa,,,,839.5,19.0
,regato de valdegollado,,,,,
,río guadalete,,,https://www.wikidata.org/wiki/q17279790,,
,río guadalete,,,https://www.wikidata.org/wiki/q17279790,,
,arroyo de balén,https://www.google.com/search?kgmid=/g/1203m01h4,,https://www.wikidata.org/wiki/q5830421,528.35,50.0
,vertiente por la margen derecha del arroyo de los álamos,https://www.google.com/search?kgmid=/g/1203m01h4,,https://www.wikidata.org/wiki/q5830421,527.799999999999,11.0
,rivera do nogales,https://www.google.com/search?kgmid=/g/12dpx021_,,https://www.wikidata.org/wiki/q16561606,,
404.0,río  jándula o fresneda o jorge,,,,,
,rio mula,,,https://www.wikidata.org/wiki/q107738433,,
329.0,rio ruecas,,,,,
,río alberche,https://www.google.com/search?kgmid=/g/121vl666,,https://www.wikidata.org/wiki/q5830546,519.5,58.5
398.0,río guatizalema,,,,748.5,76.5
734.0,riu amadorio,,,,,
48.0,la noguera de tor,,,,1783.5,70.0
296.0,rio olivenza,,,,,
440.0,río llauset,,,,2192.0,89.0
74.0,río miño,,,,110.4,27.0
,río aguas limpias,https://www.google.com/search?kgmid=/g/121n92_p,,https://www.wikidata.org/wiki/q3427764,2123.0,77.0
741.0,río pena,,,,619.029999999999,46.5
523.0,río corumbel,,,,,
,arroyo del guajaraz,,https://www.openstreetmap.org/relation/3374623,https://www.wikidata.org/wiki/q26904323,607.6,46.3999999999999
,río paradela,,,,284.5,33.0
